iter	Logloss
285	0.3022389551
286	0.3020708546
287	0.3018920242
288	0.3017167618
289	0.3014665546
290	0.3012264356
291	0.3010395883
292	0.3009182431
293	0.3007792532
294	0.3005994444
295	0.3004150701
296	0.3002840719
297	0.3001384016
298	0.3000197121
299	0.2998225827
300	0.2996759007
301	0.2994173115
302	0.299306097
303	0.2991183033
304	0.2989108653
305	0.2987696831
306	0.2985702196
307	0.2984484515
308	0.2983127398
309	0.2981611377
310	0.2980057611
311	0.2978465809
312	0.2976803181
313	0.2975460779
314	0.2973850331
315	0.2972659416
316	0.2971476947
317	0.2970496153
318	0.2968792909
319	0.2966883558
320	0.2965458558
321	0.2964089232
322	0.2962804599
323	0.2961260772
324	0.2959710321
325	0.295788098
326	0.2956437888
327	0.295471331
328	0.295368716
329	0.2952071478
330	0.2950877137
331	0.2949820136
332	0.294810482
333	0.2946682794
334	0.2945277488
335	0.2943955678
336	0.2943024267
337	0.2942126237
338	0.2940946854
339	0.2940000562
340	0.2938350822
341	0.2937334342
342	0.2935767523
343	0.2934243445
344	0.2932787979
345	0.2931379836
346	0.2929508855
347	0.2928526675
348	0.2927108449
349	0.2925370975
350	0.2924093226
351	0.2922759551
352	0.2920532311
353	0.2919052046
354	0.2917638687
355	0.2916977856
356	0.2915549101
357	0.2914157893
358	0.2912649502
359	0.2910865518
360	0.2909966413
361	0.2908583544
362	0.2906621964
363	0.2905132525
364	0.2903726419
365	0.2902667331
366	0.2901578413
367	0.2900640963
368	0.2898709235
369	0.2897486661
370	0.2896176781
371	0.2894799594
372	0.2893487134
373	0.2892686643
374	0.2891380068
375	0.2890376137
376	0.2889403223
377	0.2888226403
378	0.2886596618
379	0.2885137767
380	0.288345563
381	0.2881990964
382	0.2880995232
383	0.2879729936
384	0.2878011055
385	0.2876890466
386	0.2875350024
387	0.2873935594
388	0.287257986
389	0.2871359701
390	0.2869981237
391	0.2869163424
392	0.2867693512
393	0.286581983
394	0.2864123346
395	0.2862950941
396	0.2861904185
397	0.286111467
398	0.2860164777
399	0.2859299395
400	0.2857734065
401	0.2856897873
402	0.2855356273
403	0.2854185987
404	0.2852748432
405	0.2851248637
406	0.2850162687
407	0.2848676867
408	0.2847209524
409	0.2845809199
410	0.2844939899
411	0.2843341503
412	0.2842366207
413	0.2840728696
414	0.283991685
415	0.2838435732
416	0.2837148853
417	0.2835892198
418	0.2834770369
419	0.2833170546
420	0.2832097116
421	0.2830659996
422	0.2829756652
423	0.2828775079
424	0.2827202528
425	0.282613298
426	0.2824812413
427	0.2824172982
428	0.2823106367
429	0.2821340308
430	0.2820044278
431	0.281830914
432	0.2816313863
433	0.2815330676
434	0.2813103613
435	0.2811483872
436	0.2810561022
437	0.2809193427
438	0.280853494
439	0.2807310414
440	0.2806181131
441	0.2805067485
442	0.2804370353
443	0.2803010349
444	0.280180478
445	0.2800235759
446	0.279876808
447	0.2797573314
448	0.2796627579
449	0.2795387803
450	0.2794633121
451	0.2793616866
452	0.2792489102
453	0.2791624474
454	0.2790048086
455	0.2788747348
456	0.2787070257
457	0.2786117593
458	0.2785016931
459	0.278388255
460	0.2782750096
461	0.2781392729
462	0.2780263254
463	0.2779196085
464	0.2778303434
465	0.2777129387
466	0.2776137601
467	0.2775121129
468	0.2774211905
469	0.2772939624
470	0.2771915276
471	0.2771003915
472	0.2769349799
473	0.2768262852
474	0.2767540118
475	0.2766023157
476	0.2764522462
477	0.2763154283
478	0.2762468114
479	0.2761601928
480	0.2760384898
481	0.2759153265
482	0.2757941252
483	0.2756815731
484	0.2755862227
485	0.27550188
486	0.2754444232
487	0.2753425785
488	0.2753047165
489	0.2751865081
490	0.2751132512
491	0.2749927661
492	0.2749130091
493	0.2747912613
494	0.2747058086
495	0.274627948
496	0.2744486215
497	0.274316925
498	0.2741795578
499	0.274054647
500	0.2739104162
501	0.2737906662
502	0.273676822
503	0.2735497292
504	0.2734335068
505	0.2733120916
506	0.2732445247
507	0.273089643
508	0.2729414786
509	0.2728316993
510	0.2727198466
511	0.2726537082
512	0.2725360042
513	0.2724463024
514	0.2723379198
515	0.2722257746
516	0.2721648419
517	0.2720293017
518	0.2719123671
519	0.2717808907
520	0.2716726458
521	0.2715519351
522	0.2714275986
523	0.2713429043
524	0.2712202172
525	0.2711486565
526	0.2710115215
527	0.2708862194
528	0.2707432236
529	0.2706606569
530	0.270558705
531	0.2704821019
532	0.2704123393
533	0.2702925786
534	0.2702409084
535	0.2701861806
536	0.2700945905
537	0.2699930172
538	0.2698944919
539	0.2698054293
540	0.2696699731
541	0.2695408457
542	0.2694389517
543	0.2693184134
544	0.2692029953
545	0.2691389221
546	0.2690647302
547	0.2689979487
548	0.2689533534
549	0.268902775
550	0.2688075113
551	0.2687256707
552	0.2686214921
553	0.268535389
554	0.2684604193
555	0.2683339843
556	0.2681996859
557	0.2681367965
558	0.2680538047
559	0.2679743578
560	0.2679183368
561	0.2678352361
562	0.2677094647
563	0.2676518954
564	0.2675361509
565	0.267412827
566	0.2673306799
567	0.2672281965
568	0.2671312849
569	0.2670421489
570	0.2669345615
571	0.266851542
572	0.2667780642
573	0.2666965898
574	0.2665944154
575	0.2665025334
576	0.2664124859
577	0.2663283449
578	0.2662458586
579	0.2661442814
580	0.266104527
581	0.2660297112
582	0.2658988812
583	0.2658447899
584	0.2657052584
585	0.2656155135
586	0.2655117867
587	0.2654663638
588	0.2654062432
589	0.2652697557
590	0.2651209965
591	0.2650198753
592	0.2649547042
593	0.2648972202
594	0.2648095259
595	0.2647680886
596	0.2646928901
597	0.264626784
598	0.2645371813
599	0.2644402814
600	0.2643858236
601	0.2642938908
602	0.2641850362
603	0.2640995309
604	0.2639948139
605	0.2639255652
606	0.2638510064
607	0.2637715719
608	0.2636818242
609	0.2636012281
610	0.26355617
611	0.2634700848
612	0.2633776666
613	0.2632901453
614	0.2631679961
615	0.263107528
616	0.2629947554
617	0.2629459644
618	0.2628608709
619	0.2627807983
620	0.2626828114
621	0.2625567807
622	0.2624751512
623	0.2624074933
624	0.2623169402
625	0.262240416
626	0.2621247759
627	0.2620613799
628	0.2620067086
629	0.2619194358
630	0.2618106711
631	0.2617208401
632	0.2616858515
633	0.2616120967
634	0.2614728311
635	0.2613677568
636	0.261311846
637	0.2612501871
638	0.2611670191
639	0.2611073907
640	0.2610388198
641	0.2609027706
642	0.2608134016
643	0.260721919
644	0.2606163745
645	0.2605316493
646	0.2604606642
647	0.2604159453
648	0.2603313901
649	0.2601876375
650	0.260112186
651	0.2600039562
652	0.2598789918
653	0.2598198823
654	0.2597832201
655	0.2596698808
656	0.2596002639
657	0.2595066875
658	0.2593897976
659	0.2593128798
660	0.2592176807
661	0.2591356024
662	0.2590503136
663	0.258917051
664	0.2588486907
665	0.2587691882
666	0.2587079252
667	0.2586628254
668	0.2585710379
669	0.258478885
670	0.2583353932
671	0.2582734113
672	0.2581682598
673	0.2580728739
674	0.2579820348
675	0.2578871804
676	0.2578376777
677	0.257769647
678	0.2577123149
679	0.2576446252
680	0.2575563793
681	0.2575241008
682	0.2574153653
683	0.2573390781
684	0.257248844
685	0.2571828062
686	0.2571024759
687	0.2569597121
688	0.256821247
689	0.2567654125
690	0.2567224111
691	0.2566563033
692	0.256573173
693	0.2564907056
694	0.2564154434
695	0.2563564311
696	0.2562894364
697	0.2561786004
698	0.2560966548
699	0.2560363586
700	0.2559862027
701	0.2558890863
702	0.25583751
703	0.2557582146
704	0.2556927096
705	0.2556260815
706	0.2555509152
707	0.2554908779
708	0.2553720284
709	0.2552528978
710	0.2551776293
711	0.255111508
712	0.2550556435
713	0.2549530747
714	0.254890471
715	0.2548047682
716	0.2547515875
717	0.2546676962
718	0.2545893221
719	0.2545024079
720	0.2543982482
721	0.2543585863
722	0.2543131155
723	0.2541860053
724	0.2540752454
725	0.2539697693
726	0.2538842121
727	0.2538059832
728	0.2537500812
729	0.2536583515
730	0.2535733592
731	0.253480158
732	0.2533746811
733	0.253302077
734	0.2532033232
735	0.2531252079
736	0.2530255752
737	0.2530078112
738	0.2529293843
739	0.2528750045
740	0.2528133075
741	0.2527119229
742	0.2526430081
743	0.2525313066
744	0.2524788132
745	0.2524027829
746	0.2522846219
747	0.2522044791
748	0.2520903493
749	0.2520094898
750	0.2519238637
751	0.2518279505
752	0.2517407423
753	0.2516719172
754	0.2516061592
755	0.2515392264
756	0.2514670275
757	0.2514038553
758	0.2513082113
759	0.2511989176
760	0.2510935449
761	0.2510296986
762	0.25092383
763	0.2508361536
764	0.2507698127
765	0.2506751418
766	0.2506094777
767	0.2505652417
768	0.2504930241
769	0.2504014428
770	0.2503332722
771	0.250276052
772	0.2502199805
773	0.250165858
774	0.2501018417
775	0.2500319642
776	0.2499981742
777	0.2499025368
778	0.2498415733
779	0.2498030959
780	0.2497538897
781	0.2497010473
782	0.2496507595
783	0.2495725809
784	0.2494939809
785	0.2494392205
786	0.2493948881
787	0.2493084333
788	0.2492069973
789	0.2491221771
790	0.2490695096
791	0.2490063337
792	0.2489535198
793	0.2488877203
794	0.2487998796
795	0.2487735489
796	0.2487241087
797	0.2486611068
798	0.2486282704
799	0.2485395911
800	0.2484501786
801	0.2483975667
802	0.248306387
803	0.2482628366
804	0.2482224003
805	0.2481308059
806	0.2480648761
807	0.2479782201
808	0.2479062366
809	0.2478215106
810	0.2477533797
811	0.2477094571
812	0.2476518194
813	0.2475545379
814	0.2474903348
815	0.2474100546
816	0.2473362924
817	0.2472358902
818	0.2471657339
819	0.2471034562
820	0.2470255661
821	0.2469904728
822	0.246919569
823	0.2468562414
824	0.2467898853
825	0.2467107167
826	0.2466566765
827	0.2466086812
828	0.2465496465
829	0.2464802845
830	0.2464288338
831	0.2463774891
832	0.2463026305
833	0.2462131754
834	0.2461503039
835	0.2460842882
836	0.2459958397
837	0.2459591446
838	0.2459016619
839	0.2458562604
840	0.2457816806
841	0.2457278135
842	0.2456588195
843	0.2455609546
844	0.2454779937
845	0.2454110723
846	0.2453850133
847	0.2453361846
848	0.2452480123
849	0.2451686142
850	0.2451245203
851	0.2450647496
852	0.2450259205
853	0.2449646454
854	0.24491013
855	0.244835668
856	0.2447588136
857	0.2447163833
858	0.2446298428
859	0.2445742217
860	0.2445217436
861	0.244471717
862	0.2444116244
863	0.2443403959
864	0.2442636121
865	0.2442148286
866	0.2441295403
867	0.2440649589
868	0.2440056914
869	0.2439430546
870	0.243911131
871	0.2438566717
872	0.2437989323
873	0.2437549268
874	0.2436906607
875	0.2436599677
876	0.2435910901
877	0.243524363
878	0.2434792026
879	0.2433963282
880	0.2433515269
881	0.2432854544
882	0.2432212981
883	0.24313355
884	0.243071048
885	0.2430162234
886	0.2429348352
887	0.2428447222
888	0.2427753831
889	0.2427395667
890	0.2426916963
891	0.2426446316
892	0.2425837904
893	0.242512467
894	0.2424666701
895	0.242420636
896	0.2423984441
897	0.2423515803
898	0.2423176373
899	0.2422468294
900	0.2421641524
901	0.2421001314
902	0.2420365374
903	0.24197039
904	0.2419237494
905	0.2418881881
906	0.2418307197
907	0.2417367479
908	0.2416971422
909	0.2416412701
910	0.2415918651
911	0.2415202593
912	0.2414579425
913	0.2413799112
914	0.2413389742
915	0.2413064409
916	0.2412612122
917	0.2412238131
918	0.2411840038
919	0.2411285643
920	0.241059846
921	0.2410077067
922	0.2409503624
923	0.2408768307
924	0.2407920548
925	0.2406792253
926	0.2406422844
927	0.2405767213
928	0.2405331859
929	0.2404503908
930	0.2404070123
931	0.2403280134
932	0.2402918009
933	0.2402380817
934	0.2401580765
935	0.240092674
936	0.2400401714
937	0.2400069396
938	0.2399967952
939	0.2399548669
940	0.2398685599
941	0.2398268239
942	0.2397771307
943	0.2397272224
944	0.2396394531
945	0.2395718576
946	0.2395087432
947	0.239456779
948	0.2393647486
949	0.2393028063
950	0.2392413791
951	0.2391813544
952	0.2391295835
953	0.2390508548
954	0.2390269576
955	0.2389602966
956	0.238899507
957	0.2388701708
958	0.2388058947
959	0.2387791036
960	0.2387131211
961	0.2386579622
962	0.2385943488
963	0.2385267258
964	0.2384862343
965	0.2384145368
966	0.2383821788
967	0.2383361184
968	0.2382698052
969	0.238241503
970	0.2382221654
971	0.2381609332
972	0.2380730527
973	0.238013905
974	0.2379220911
975	0.2378872502
976	0.2378365061
977	0.2377661989
978	0.237711168
979	0.2376571806
980	0.2375909149
981	0.2375528906
982	0.2374922736
983	0.2374345183
984	0.2373671034
985	0.2372718325
986	0.2372164316
987	0.2371485154
988	0.2371018078
989	0.2370416725
990	0.2369651545
991	0.2368786011
992	0.2368331113
993	0.23680677
994	0.2367876102
995	0.2367478456
996	0.2366941557
997	0.2366595071
998	0.2366052641
999	0.2365485114
